original_path,degraded_path,degradation,restored_path,corrected_path,psnr,ssim,niqe
originals/1 (985).jpg,degraded/1 (985)_blur7.png,blur_7,results/restored_paired/restored_1 (985)_blur7_20251124_191554.png,results/restored_paired/corrected_1 (985)_blur7_20251124_191554.png,28.93757133,0.892140909,6.458578351
originals/1 (985).jpg,degraded/1 (985)_x2.png,downs_up_x2,results/restored_paired/restored_1 (985)_x2_20251124_191554.png,results/restored_paired/corrected_1 (985)_x2_20251124_191554.png,29.95148086,0.910278823,6.012490729
originals/1 (985).jpg,degraded/1 (985)_x4.png,downs_up_x4,results/restored_paired/restored_1 (985)_x4_20251124_191555.png,results/restored_paired/corrected_1 (985)_x4_20251124_191555.png,25.8483836,0.818886022,5.842550259
originals/1 (985).jpg,degraded/1 (985)_jpg30.png,jpeg_30,results/restored_paired/restored_1 (985)_jpg30_20251124_191555.png,results/restored_paired/corrected_1 (985)_jpg30_20251124_191555.png,31.96329805,0.913069502,5.357523828
originals/1 (985).jpg,degraded/1 (985)_jpg10.png,jpeg_10,results/restored_paired/restored_1 (985)_jpg10_20251124_191556.png,results/restored_paired/corrected_1 (985)_jpg10_20251124_191556.png,29.04528886,0.847597252,6.218533727
originals/1 (986).jpg,degraded/1 (986)_gauss10.png,gauss_10,results/restored_paired/restored_1 (986)_gauss10_20251124_191556.png,results/restored_paired/corrected_1 (986)_gauss10_20251124_191556.png,25.4392946,0.801583273,3.93175352
originals/1 (986).jpg,degraded/1 (986)_gauss25.png,gauss_25,results/restored_paired/restored_1 (986)_gauss25_20251124_191556.png,results/restored_paired/corrected_1 (986)_gauss25_20251124_191556.png,22.14054518,0.642626217,3.914460568
originals/1 (986).jpg,degraded/1 (986)_blur3.png,blur_3,results/restored_paired/restored_1 (986)_blur3_20251124_191557.png,results/restored_paired/corrected_1 (986)_blur3_20251124_191557.png,25.81837611,0.843397833,3.452459388
originals/1 (986).jpg,degraded/1 (986)_blur7.png,blur_7,results/restored_paired/restored_1 (986)_blur7_20251124_191557.png,results/restored_paired/corrected_1 (986)_blur7_20251124_191557.png,24.76025568,0.76651732,4.926063742
originals/1 (986).jpg,degraded/1 (986)_x2.png,downs_up_x2,results/restored_paired/restored_1 (986)_x2_20251124_191558.png,results/restored_paired/corrected_1 (986)_x2_20251124_191558.png,24.87031744,0.793085203,4.530075966
